,Unnamed: 0,UTC,Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],PM1.0,PM2.5,NC0.5,NC1.0,NC2.5,CNT,Fire Alarm
20384,20384,1654753715,12.291,52.75,1256,400,12949,19413,938.755,2.23,2.32,15.36,2.395,0.054,20384,1
20620,20620,1654753951,8.986,50.9,927,400,13033,19497,938.709,2.77,2.88,19.07,2.974,0.067,20620,1
55810,55810,1654716855,50.71,14.12,626,400,13357,20516,936.837,0.97,1.01,6.69,1.043,0.024,4668,0
60253,60253,1655127675,14.545,48.25,212,438,12770,20510,937.451,1.75,1.82,12.06,1.881,0.042,3367,0
13333,13333,1654746664,20.336,47.86,1184,530,12836,19432,938.894,1.79,1.86,12.29,1.917,0.043,13333,1
50580,50580,1654903597,40.53,13.92,0,1169,13014,20497,930.948,0.68,0.71,4.68,0.729,0.016,592,1
61020,61020,1655128442,18.231,47.18,5686,400,13128,19596,936.897,0.41,0.43,2.82,0.44,0.01,4134,0
15964,15964,1654749295,12.057,51.18,1073,400,12892,19456,938.798,1.76,1.82,12.08,1.884,0.043,15964,1
27898,27898,1654764247,21.04,45.89,138,400,13165,20034,939.615,1.0,1.04,6.87,1.071,0.024,2904,0
720,720,1654734051,26.529,52.96,25,400,12906,19852,939.78,0.27,0.28,1.83,0.285,0.006,720,0
4590,4590,1654737921,-5.947,47.48,35,400,13267,20185,939.64,2.41,2.51,16.61,2.59,0.058,4590,1
57318,57318,1655124740,23.542,45.86,62,400,12833,20713,937.503,1.68,1.74,11.54,1.8,0.041,432,0
27817,27817,1654764166,18.24,52.34,124,400,13180,20058,939.663,0.95,0.99,6.56,1.023,0.023,2823,0
22093,22093,1654755424,-14.255,48.64,1337,400,12970,19392,938.718,1.72,1.78,11.81,1.842,0.042,22093,1
53005,53005,1654714050,26.22,46.5,129,404,12790,20598,937.388,1.9,1.98,13.11,2.044,0.046,1863,0
54037,54037,1654715082,25.84,48.79,182,433,12765,20534,937.433,2.07,2.15,14.23,2.219,0.05,2895,0
825,825,1654734156,26.864,50.59,5,400,12975,19908,939.788,0.1,0.1,0.67,0.105,0.002,825,0
3197,3197,1654736528,9.143,59.14,0,400,13416,20418,939.68,2.27,2.36,15.64,2.438,0.055,3197,1
57783,57783,1655125205,0.605,43.92,84,407,12778,20668,937.561,2.09,2.17,14.37,2.24,0.051,897,0
11423,11423,1654744754,11.029,47.72,1002,614,12812,19477,939.086,2.07,2.15,14.25,2.222,0.05,11423,1
13571,13571,1654746902,19.589,48.13,1094,511,12848,19453,938.877,1.88,1.96,12.96,2.02,0.046,13571,1
17747,17747,1654751078,17.199,53.09,1161,400,12910,19453,938.701,1.6,1.66,10.99,1.714,0.039,17747,1
26294,26294,1654762643,16.59,53.69,0,400,13101,19975,939.712,0.4,0.41,2.75,0.429,0.01,1300,0
27692,27692,1654764041,18.23,52.0,100,400,13189,20080,939.635,1.06,1.1,7.32,1.141,0.026,2698,0
17173,17173,1654750504,14.864,48.31,1153,400,12894,19435,938.778,1.45,1.5,9.95,1.551,0.035,17173,1
22008,22008,1654755339,-13.094,53.46,1371,412,12957,19380,938.729,1.93,2.0,13.28,2.071,0.047,22008,1
54232,54232,1654715277,28.29,44.07,194,418,12772,20521,937.362,1.64,1.71,11.32,1.765,0.04,3090,0
60927,60927,1655128349,16.51,61.13,2486,400,13350,19993,936.923,1.06,1.1,7.31,1.14,0.026,4041,0
4948,4948,1654738279,-8.107,48.34,44,400,13243,20178,939.691,2.19,2.27,15.05,2.347,0.053,4948,1
53441,53441,1654714486,25.71,48.21,153,416,12779,20575,937.308,1.96,2.04,13.51,2.106,0.048,2299,0
19709,19709,1654753040,18.843,47.48,1143,400,12926,19439,938.694,1.69,1.76,11.64,1.815,0.041,19709,1
61719,61719,1655129141,2.478,27.05,13556,400,12914,19148,936.849,17.08,17.75,117.57,18.334,0.414,4833,0
51829,51829,1654712874,28.55,43.31,75,441,12788,20686,937.508,2.47,2.56,16.98,2.648,0.06,687,0
55155,55155,1654716200,29.27,61.03,2306,400,13350,20042,937.018,0.61,0.63,4.19,0.653,0.015,4013,0
25224,25224,1654761573,13.0,55.58,0,400,12630,19701,939.812,0.06,0.11,0.28,0.121,0.049,230,0
20498,20498,1654753829,10.744,51.44,1226,400,12955,19427,938.739,2.08,2.16,14.32,2.233,0.05,20498,1
11058,11058,1654744389,6.955,53.55,963,633,12808,19484,939.103,2.28,2.36,15.66,2.442,0.055,11058,1
1742,1742,1654735073,24.554,50.79,55,400,13118,20004,939.599,0.78,0.81,5.36,0.835,0.019,1742,0
53236,53236,1654714281,27.05,42.31,144,433,12768,20569,937.338,1.88,1.96,12.97,2.023,0.046,2094,0
26729,26729,1654763078,18.81,48.53,13,400,13137,20030,939.595,0.79,0.82,5.46,0.852,0.019,1735,0
14867,14867,1654748198,13.658,52.78,1103,449,12861,19444,938.833,2.21,2.29,15.18,2.368,0.053,14867,1
57071,57071,1655124493,26.811,44.47,30,426,12843,20752,937.565,1.86,1.93,12.78,1.992,0.045,185,0
27391,27391,1654763740,18.1,50.89,43,400,13196,20130,939.603,0.94,0.97,6.45,1.006,0.023,2397,0
60931,60931,1655128353,16.584,59.68,2534,400,13354,19985,936.928,0.95,0.99,6.55,1.022,0.023,4045,0
57631,57631,1655125053,8.578,44.84,36,404,12795,20712,937.533,2.12,2.2,14.56,2.27,0.051,745,0
14147,14147,1654747478,16.999,52.71,1143,504,12848,19442,938.909,1.91,1.98,13.14,2.049,0.046,14147,1
4358,4358,1654737689,-4.033,51.05,110,400,13228,20101,939.644,2.27,2.36,15.6,2.433,0.055,4358,1
57939,57939,1655125361,-5.892,41.8,53,400,12792,20680,937.494,1.97,2.04,13.54,2.112,0.048,1053,0
4011,4011,1654737342,-0.578,52.96,128,400,13221,20076,939.62,2.07,2.15,14.23,2.219,0.05,4011,1
58041,58041,1655125463,-8.431,47.2,117,408,12775,20624,937.489,1.9,1.98,13.09,2.042,0.046,1155,0
58663,58663,1655126085,-4.08,41.85,90,400,12796,20635,937.41,1.95,2.03,13.44,2.096,0.047,1777,0
4444,4444,1654737775,-4.784,53.01,61,400,13265,20157,939.661,2.22,2.31,15.27,2.381,0.054,4444,1
18496,18496,1654751827,20.026,48.04,1191,400,12915,19431,938.731,1.69,1.76,11.63,1.814,0.041,18496,1
21546,21546,1654754877,-6.03,50.26,1295,400,12964,19397,938.697,1.91,1.99,13.15,2.051,0.046,21546,1
54183,54183,1654715228,28.72,42.69,178,434,12768,20540,937.33,1.83,1.9,12.6,1.965,0.044,3041,0
53075,53075,1654714120,25.89,47.66,126,415,12780,20589,937.391,1.82,1.89,12.53,1.954,0.044,1933,0
61725,61725,1655129147,2.048,26.06,29960,519,12765,18838,936.839,23.06,23.96,158.7,24.748,0.559,4839,0
4573,4573,1654737904,-5.82,48.88,36,400,13257,20174,939.658,2.03,2.11,13.97,2.179,0.049,4573,1
6988,6988,1654740319,-5.364,49.56,220,400,13146,20034,939.582,0.46,0.48,3.18,0.496,0.011,6988,1
56638,56638,1654717683,54.86,12.13,2346,400,13600,20082,936.711,0.54,0.56,3.68,0.575,0.013,5496,0
16799,16799,1654750130,13.62,53.79,1174,401,12892,19443,938.76,1.88,1.95,12.91,2.014,0.045,16799,1
3114,3114,1654736445,10.18,51.33,176,400,13143,19993,939.671,0.74,0.77,5.08,0.792,0.018,3114,0
61098,61098,1655128520,19.517,39.44,9183,400,12888,19372,936.895,0.66,0.69,4.57,0.712,0.016,4212,0
61192,61192,1655128614,20.566,30.59,6985,400,13003,19519,936.875,0.66,0.69,4.57,0.712,0.016,4306,0
13037,13037,1654746368,20.823,47.52,1097,528,12838,19456,938.931,1.8,1.87,12.38,1.93,0.044,13037,1
1584,1584,1654734915,25.531,55.52,11,400,13123,20010,939.61,0.66,0.69,4.55,0.71,0.016,1584,0
15771,15771,1654749102,11.997,53.19,1159,418,12876,19442,938.814,2.0,2.08,13.76,2.146,0.048,15771,1
13883,13883,1654747214,18.278,47.14,1153,490,12847,19440,938.896,2.09,2.17,14.36,2.239,0.051,13883,1
13652,13652,1654746983,19.279,47.62,1163,538,12831,19442,938.867,1.77,1.84,12.18,1.9,0.043,13652,1
27895,27895,1654764244,20.94,46.24,140,400,13163,20044,939.632,0.85,0.88,5.84,0.911,0.021,2901,0
27669,27669,1654764018,20.78,46.45,93,400,13187,20083,939.656,0.97,1.0,6.65,1.037,0.023,2675,0
52061,52061,1654713106,26.13,47.09,78,400,12785,20680,937.557,2.06,2.14,14.17,2.21,0.05,919,0
14939,14939,1654748270,13.397,53.59,1088,449,12866,19448,938.815,1.99,2.06,13.68,2.133,0.048,14939,1
13419,13419,1654746750,20.097,51.37,1187,543,12831,19425,938.881,1.78,1.85,12.26,1.912,0.043,13419,1
10561,10561,1654743892,1.65,54.33,1004,687,12779,19486,939.095,2.21,2.3,15.21,2.372,0.054,10561,1
11626,11626,1654744957,13.199,52.79,1084,617,12806,19461,939.067,1.63,1.7,11.23,1.751,0.04,11626,1
13496,13496,1654746827,19.853,53.19,1149,526,12840,19440,938.864,2.05,2.13,14.14,2.205,0.05,13496,1
51242,51242,1654712287,29.76,39.13,41,424,12852,20743,937.609,2.34,2.44,16.13,2.516,0.057,100,0
6585,6585,1654739916,-6.734,54.98,207,400,13145,20059,939.605,0.56,0.59,3.88,0.606,0.014,6585,1
318,318,1654733649,23.851,53.25,31,400,12652,19698,939.787,0.06,0.08,0.33,0.085,0.022,318,0
57495,57495,1655124917,15.825,46.05,86,404,12819,20670,937.497,2.2,2.29,15.15,2.362,0.053,609,0
7717,7717,1654741048,-4.082,50.82,288,400,13119,19981,939.437,0.37,0.39,2.57,0.401,0.009,7717,1
62583,62583,1655130005,10.035,16.52,885,400,13676,20454,936.66,0.74,0.77,5.08,0.792,0.018,5697,0
57592,57592,1655125014,10.698,40.41,90,454,12782,20667,937.524,2.25,2.34,15.48,2.413,0.055,706,0
3228,3228,1654736559,8.756,64.93,16,400,13273,20201,939.703,2.52,2.62,17.35,2.705,0.061,3228,1
61253,61253,1655128675,20.794,25.77,13172,514,12758,19122,936.923,0.81,0.84,5.56,0.867,0.02,4367,0
2795,2795,1654736126,14.107,45.66,115,400,13179,20060,939.644,0.98,1.02,6.77,1.055,0.024,2795,0
25485,25485,1654761834,12.01,52.98,29,400,12764,19758,939.83,0.28,0.29,1.91,0.298,0.007,491,0
27739,27739,1654764088,18.88,48.3,123,400,13166,20048,939.628,1.01,1.04,6.92,1.079,0.024,2745,0
21175,21175,1654754506,0.12,53.72,1331,409,12949,19389,938.676,2.32,2.41,15.96,2.488,0.056,21175,1
10840,10840,1654744171,4.547,48.28,986,649,12791,19483,939.078,2.35,2.44,16.17,2.522,0.057,10840,1
61273,61273,1655128695,20.77,27.07,12565,476,12781,19169,936.87,0.91,0.95,6.26,0.977,0.022,4387,0
61856,61856,1655129278,-7.37,24.78,60000,12802,11238,16468,936.841,5142.43,5342.8,35393.27,5519.16,124.656,4970,0
62551,62551,1655129973,4.389,14.71,944,400,13688,20427,936.679,0.68,0.7,4.65,0.725,0.016,5665,0
52641,52641,1654713686,26.56,45.28,80,403,12776,20639,937.432,2.16,2.25,14.88,2.321,0.052,1499,0
61123,61123,1655128545,19.863,32.64,11904,481,12772,19203,936.888,0.39,0.4,2.68,0.417,0.009,4237,0
13840,13840,1654747171,18.475,51.67,1113,509,12846,19449,938.889,2.16,2.24,14.85,2.316,0.052,13840,1
13387,13387,1654746718,20.19,49.14,1166,522,12834,19437,938.902,1.57,1.64,10.84,1.69,0.038,13387,1
22436,22436,1654755767,-18.291,54.03,1381,406,12961,19382,938.749,1.61,1.67,11.08,1.728,0.039,22436,1
17206,17206,1654750537,14.987,52.95,1151,400,12900,19440,938.77,1.47,1.53,10.11,1.576,0.036,17206,1
53696,53696,1654714741,28.45,43.09,152,417,12777,20571,937.329,1.71,1.78,11.79,1.838,0.042,2554,0
14596,14596,1654747927,14.803,47.67,1126,463,12860,19452,938.882,1.9,1.98,13.1,2.043,0.046,14596,1
