,param_metric,param_n_neighbors,param_weights,params,mean_test_score,std_test_score,rank_test_score
0,cityblock,1,uniform,"{'metric': 'cityblock', 'n_neighbors': 1, 'weights': 'uniform'}",0.9264135608655583,0.0031681874879030065,295
1,cityblock,1,distance,"{'metric': 'cityblock', 'n_neighbors': 1, 'weights': 'distance'}",0.9264135608655583,0.0031681874879030065,295
2,cityblock,7,uniform,"{'metric': 'cityblock', 'n_neighbors': 7, 'weights': 'uniform'}",0.9531215709847057,0.002981903650815539,145
3,cityblock,7,distance,"{'metric': 'cityblock', 'n_neighbors': 7, 'weights': 'distance'}",0.9413614838243962,0.003298500471830666,292
4,cityblock,13,uniform,"{'metric': 'cityblock', 'n_neighbors': 13, 'weights': 'uniform'}",0.9540981941418863,0.003250342337641214,142
5,cityblock,13,distance,"{'metric': 'cityblock', 'n_neighbors': 13, 'weights': 'distance'}",0.9438194789783363,0.003889510907708631,289
6,cityblock,19,uniform,"{'metric': 'cityblock', 'n_neighbors': 19, 'weights': 'uniform'}",0.9543391416495147,0.002840921473577855,136
7,cityblock,19,distance,"{'metric': 'cityblock', 'n_neighbors': 19, 'weights': 'distance'}",0.9449517127785004,0.003905807983898036,286
8,cityblock,25,uniform,"{'metric': 'cityblock', 'n_neighbors': 25, 'weights': 'uniform'}",0.9548717938850946,0.003103427780402561,109
9,cityblock,25,distance,"{'metric': 'cityblock', 'n_neighbors': 25, 'weights': 'distance'}",0.9456190235347656,0.004055061714440588,283
10,cityblock,31,uniform,"{'metric': 'cityblock', 'n_neighbors': 31, 'weights': 'uniform'}",0.9549398723250123,0.0032123305746395215,97
11,cityblock,31,distance,"{'metric': 'cityblock', 'n_neighbors': 31, 'weights': 'distance'}",0.9462211878311402,0.004032043257920347,280
12,cityblock,37,uniform,"{'metric': 'cityblock', 'n_neighbors': 37, 'weights': 'uniform'}",0.9542585198332946,0.0032704509771509706,139
13,cityblock,37,distance,"{'metric': 'cityblock', 'n_neighbors': 37, 'weights': 'distance'}",0.9463035079466685,0.004079415246778617,277
14,cityblock,43,uniform,"{'metric': 'cityblock', 'n_neighbors': 43, 'weights': 'uniform'}",0.9546994560301674,0.003228039442001638,124
15,cityblock,43,distance,"{'metric': 'cityblock', 'n_neighbors': 43, 'weights': 'distance'}",0.9467035026151993,0.0038987848038522285,274
16,cityblock,49,uniform,"{'metric': 'cityblock', 'n_neighbors': 49, 'weights': 'uniform'}",0.9546521269418106,0.0033900567730178605,127
17,cityblock,49,distance,"{'metric': 'cityblock', 'n_neighbors': 49, 'weights': 'distance'}",0.9469623510113685,0.003904011154833153,271
18,cityblock,55,uniform,"{'metric': 'cityblock', 'n_neighbors': 55, 'weights': 'uniform'}",0.9545658297974791,0.003369710421903441,133
