,param_activation,param_hidden_layer_sizes,param_learning_rate_init,param_max_iter,params,mean_test_score,std_test_score,rank_test_score
0,logistic,(),0.001,1000,"{'activation': 'logistic', 'hidden_layer_sizes': (), 'learning_rate_init': 0.001, 'max_iter': 1000}",0.9403137070729273,0.0014825971881078203,50
1,logistic,(),0.01,1000,"{'activation': 'logistic', 'hidden_layer_sizes': (), 'learning_rate_init': 0.01, 'max_iter': 1000}",0.941566693771029,0.0022952537019265934,45
2,logistic,(),0.1,1000,"{'activation': 'logistic', 'hidden_layer_sizes': (), 'learning_rate_init': 0.1, 'max_iter': 1000}",0.9421084024383081,0.007883626848807244,44
3,logistic,(),1,1000,"{'activation': 'logistic', 'hidden_layer_sizes': (), 'learning_rate_init': 1, 'max_iter': 1000}",0.9333855361986348,0.012228454809596667,56
4,logistic,(),10,1000,"{'activation': 'logistic', 'hidden_layer_sizes': (), 'learning_rate_init': 10, 'max_iter': 1000}",0.923849467068883,0.02239238916272189,57
5,logistic,2,0.001,1000,"{'activation': 'logistic', 'hidden_layer_sizes': 2, 'learning_rate_init': 0.001, 'max_iter': 1000}",0.9551351919197923,0.002715809810025633,20
6,logistic,2,0.01,1000,"{'activation': 'logistic', 'hidden_layer_sizes': 2, 'learning_rate_init': 0.01, 'max_iter': 1000}",0.9552599666291076,0.002622220767060384,10
7,logistic,2,0.1,1000,"{'activation': 'logistic', 'hidden_layer_sizes': 2, 'learning_rate_init': 0.1, 'max_iter': 1000}",0.9545549605444551,0.0020702220869731765,25
8,logistic,2,1,1000,"{'activation': 'logistic', 'hidden_layer_sizes': 2, 'learning_rate_init': 1, 'max_iter': 1000}",0.9543700401611677,0.003909834200544625,27
9,logistic,2,10,1000,"{'activation': 'logistic', 'hidden_layer_sizes': 2, 'learning_rate_init': 10, 'max_iter': 1000}",0.7633842553621607,0.38171578667980105,64
10,logistic,4,0.001,1000,"{'activation': 'logistic', 'hidden_layer_sizes': 4, 'learning_rate_init': 0.001, 'max_iter': 1000}",0.9554346280909499,0.0026624427132748937,2
11,logistic,4,0.01,1000,"{'activation': 'logistic', 'hidden_layer_sizes': 4, 'learning_rate_init': 0.01, 'max_iter': 1000}",0.9551748979253532,0.002713155152447419,17
12,logistic,4,0.1,1000,"{'activation': 'logistic', 'hidden_layer_sizes': 4, 'learning_rate_init': 0.1, 'max_iter': 1000}",0.9553926522376258,0.0024851278123385304,4
13,logistic,4,1,1000,"{'activation': 'logistic', 'hidden_layer_sizes': 4, 'learning_rate_init': 1, 'max_iter': 1000}",0.9543960467261284,0.0026806053571664518,26
