,param_metric,param_n_neighbors,param_weights,params,mean_test_score,std_test_score,rank_test_score
0,cityblock,1,uniform,"{'metric': 'cityblock', 'n_neighbors': 1, 'weights': 'uniform'}",0.9886449930698958,0.0014600419519046717,8
1,cityblock,1,distance,"{'metric': 'cityblock', 'n_neighbors': 1, 'weights': 'distance'}",0.9886449930698958,0.0014600419519046717,8
2,cityblock,7,uniform,"{'metric': 'cityblock', 'n_neighbors': 7, 'weights': 'uniform'}",0.9877864085428675,0.0012795817716464094,15
3,cityblock,7,distance,"{'metric': 'cityblock', 'n_neighbors': 7, 'weights': 'distance'}",0.9887441534480905,0.001738799215957405,7
4,cityblock,13,uniform,"{'metric': 'cityblock', 'n_neighbors': 13, 'weights': 'uniform'}",0.9851928369632035,0.001332806248780394,26
5,cityblock,13,distance,"{'metric': 'cityblock', 'n_neighbors': 13, 'weights': 'distance'}",0.9877964150998357,0.0011169600755899483,14
6,cityblock,19,uniform,"{'metric': 'cityblock', 'n_neighbors': 19, 'weights': 'uniform'}",0.9833427995008275,0.001592711601329463,37
7,cityblock,19,distance,"{'metric': 'cityblock', 'n_neighbors': 19, 'weights': 'distance'}",0.9865375283353695,0.001434594030354498,18
8,cityblock,25,uniform,"{'metric': 'cityblock', 'n_neighbors': 25, 'weights': 'uniform'}",0.9818489874251292,0.001523172288473903,52
9,cityblock,25,distance,"{'metric': 'cityblock', 'n_neighbors': 25, 'weights': 'distance'}",0.9854044787535479,0.0017053039398448936,25
10,cityblock,31,uniform,"{'metric': 'cityblock', 'n_neighbors': 31, 'weights': 'uniform'}",0.9811378051538189,0.001648029439877541,63
11,cityblock,31,distance,"{'metric': 'cityblock', 'n_neighbors': 31, 'weights': 'distance'}",0.9849961132433449,0.0015981199636775606,27
12,cityblock,37,uniform,"{'metric': 'cityblock', 'n_neighbors': 37, 'weights': 'uniform'}",0.9803586209315341,0.0015477669579523259,72
13,cityblock,37,distance,"{'metric': 'cityblock', 'n_neighbors': 37, 'weights': 'distance'}",0.9838681375126894,0.0016041539286716251,34
14,cityblock,43,uniform,"{'metric': 'cityblock', 'n_neighbors': 43, 'weights': 'uniform'}",0.9798216865007696,0.0013954371415399204,85
15,cityblock,43,distance,"{'metric': 'cityblock', 'n_neighbors': 43, 'weights': 'distance'}",0.9833241344435499,0.0017951027705287775,38
16,cityblock,49,uniform,"{'metric': 'cityblock', 'n_neighbors': 49, 'weights': 'uniform'}",0.9792803562300343,0.0015525522445299447,92
17,cityblock,49,distance,"{'metric': 'cityblock', 'n_neighbors': 49, 'weights': 'distance'}",0.9829176963262052,0.0019035180000644444,39
18,cityblock,55,uniform,"{'metric': 'cityblock', 'n_neighbors': 55, 'weights': 'uniform'}",0.9786018624458928,0.0015409746312402748,107
19,cityblock,55,distance,"{'metric': 'cityblock', 'n_neighbors': 55, 'weights': 'distance'}",0.9824789243706933,0.002111427526154103,44
