,param_activation,param_hidden_layer_sizes,param_learning_rate_init,param_max_iter,params,mean_test_score,std_test_score,rank_test_score
0,logistic,(),0.001,1000,"{'activation': 'logistic', 'hidden_layer_sizes': (), 'learning_rate_init': 0.001, 'max_iter': 1000}",0.842556009813648,0.003080350621260829,53
1,logistic,(),0.01,1000,"{'activation': 'logistic', 'hidden_layer_sizes': (), 'learning_rate_init': 0.01, 'max_iter': 1000}",0.8449181970447223,0.0023118600819819193,49
2,logistic,(),0.1,1000,"{'activation': 'logistic', 'hidden_layer_sizes': (), 'learning_rate_init': 0.1, 'max_iter': 1000}",0.8368897105453824,0.007883216781667871,56
3,logistic,(),1,1000,"{'activation': 'logistic', 'hidden_layer_sizes': (), 'learning_rate_init': 1, 'max_iter': 1000}",0.8479730460971799,0.024925011801652824,46
4,logistic,(),10,1000,"{'activation': 'logistic', 'hidden_layer_sizes': (), 'learning_rate_init': 10, 'max_iter': 1000}",0.6400404429770201,0.32498195328435137,63
5,logistic,2,0.001,1000,"{'activation': 'logistic', 'hidden_layer_sizes': 2, 'learning_rate_init': 0.001, 'max_iter': 1000}",0.9099128112524589,0.0016194635686382708,33
6,logistic,2,0.01,1000,"{'activation': 'logistic', 'hidden_layer_sizes': 2, 'learning_rate_init': 0.01, 'max_iter': 1000}",0.9110296443490833,0.0017057241612722389,31
7,logistic,2,0.1,1000,"{'activation': 'logistic', 'hidden_layer_sizes': 2, 'learning_rate_init': 0.1, 'max_iter': 1000}",0.9214426580102458,0.015447194250129269,28
8,logistic,2,1,1000,"{'activation': 'logistic', 'hidden_layer_sizes': 2, 'learning_rate_init': 1, 'max_iter': 1000}",0.9217669896393975,0.01663494668732444,27
9,logistic,2,10,1000,"{'activation': 'logistic', 'hidden_layer_sizes': 2, 'learning_rate_init': 10, 'max_iter': 1000}",0.8627158011943455,0.03343830366624504,41
10,logistic,4,0.001,1000,"{'activation': 'logistic', 'hidden_layer_sizes': 4, 'learning_rate_init': 0.001, 'max_iter': 1000}",0.9325242585085937,0.013503073848275165,21
11,logistic,4,0.01,1000,"{'activation': 'logistic', 'hidden_layer_sizes': 4, 'learning_rate_init': 0.01, 'max_iter': 1000}",0.96820769144769,0.014562593841373983,7
12,logistic,4,0.1,1000,"{'activation': 'logistic', 'hidden_layer_sizes': 4, 'learning_rate_init': 0.1, 'max_iter': 1000}",0.964300268828515,0.015543385499134766,10
13,logistic,4,1,1000,"{'activation': 'logistic', 'hidden_layer_sizes': 4, 'learning_rate_init': 1, 'max_iter': 1000}",0.9517894872561812,0.01388498890446418,14
14,logistic,4,10,1000,"{'activation': 'logistic', 'hidden_layer_sizes': 4, 'learning_rate_init': 10, 'max_iter': 1000}",0.8657214531111246,0.04959813707533093,40
15,logistic,"(2, 2)",0.001,1000,"{'activation': 'logistic', 'hidden_layer_sizes': (2, 2), 'learning_rate_init': 0.001, 'max_iter': 1000}",0.9080644755566734,0.008169905508747053,34
16,logistic,"(2, 2)",0.01,1000,"{'activation': 'logistic', 'hidden_layer_sizes': (2, 2), 'learning_rate_init': 0.01, 'max_iter': 1000}",0.9232319113978645,0.012141487492787833,26
17,logistic,"(2, 2)",0.1,1000,"{'activation': 'logistic', 'hidden_layer_sizes': (2, 2), 'learning_rate_init': 0.1, 'max_iter': 1000}",0.9288444785118328,0.003788258746519299,23
18,logistic,"(2, 2)",1,1000,"{'activation': 'logistic', 'hidden_layer_sizes': (2, 2), 'learning_rate_init': 1, 'max_iter': 1000}",0.8822816682015373,0.10730259681293286,38
19,logistic,"(2, 2)",10,1000,"{'activation': 'logistic', 'hidden_layer_sizes': (2, 2), 'learning_rate_init': 10, 'max_iter': 1000}",0.13353523587652885,0.2670704717530577,72
20,logistic,"(4, 4)",0.001,1000,"{'activation': 'logistic', 'hidden_layer_sizes': (4, 4), 'learning_rate_init': 0.001, 'max_iter': 1000}",0.9257813539009193,0.01573227285163827,25
21,logistic,"(4, 4)",0.01,1000,"{'activation': 'logistic', 'hidden_layer_sizes': (4, 4), 'learning_rate_init': 0.01, 'max_iter': 1000}",0.9626446200134472,0.01973994122959026,11
22,logistic,"(4, 4)",0.1,1000,"{'activation': 'logistic', 'hidden_layer_sizes': (4, 4), 'learning_rate_init': 0.1, 'max_iter': 1000}",0.9647969303059662,0.018665455883475904,8
23,logistic,"(4, 4)",1,1000,"{'activation': 'logistic', 'hidden_layer_sizes': (4, 4), 'learning_rate_init': 1, 'max_iter': 1000}",0.931624962687202,0.022088177390277786,22
24,logistic,"(4, 4)",10,1000,"{'activation': 'logistic', 'hidden_layer_sizes': (4, 4), 'learning_rate_init': 10, 'max_iter': 1000}",0.5341564238284919,0.26707821359662093,66
25,tanh,(),0.001,1000,"{'activation': 'tanh', 'hidden_layer_sizes': (), 'learning_rate_init': 0.001, 'max_iter': 1000}",0.8426530556045156,0.0024512370645352016,52
26,tanh,(),0.01,1000,"{'activation': 'tanh', 'hidden_layer_sizes': (), 'learning_rate_init': 0.01, 'max_iter': 1000}",0.8434509995221353,0.0024306904686413004,50
27,tanh,(),0.1,1000,"{'activation': 'tanh', 'hidden_layer_sizes': (), 'learning_rate_init': 0.1, 'max_iter': 1000}",0.8473275058183745,0.007482376918780452,47
