,param_C,param_kernel,params,mean_test_score,std_test_score,rank_test_score
0,0.001,linear,"{'C': 0.001, 'kernel': 'linear'}",0.8243792390552134,0.002558565971325332,30
1,0.001,poly,"{'C': 0.001, 'kernel': 'poly'}",0.6820118267427733,0.0014669008336567974,46
2,0.001,rbf,"{'C': 0.001, 'kernel': 'rbf'}",0.8319929710284161,0.0035547681374476286,15
3,0.001,sigmoid,"{'C': 0.001, 'kernel': 'sigmoid'}",0.8120888186175588,0.001999352332171707,31
4,0.072,linear,"{'C': 0.072, 'kernel': 'linear'}",0.8255850785925591,0.0027913187866228447,28
5,0.072,poly,"{'C': 0.072, 'kernel': 'poly'}",0.7087361063334956,0.0021712359645510645,45
6,0.072,rbf,"{'C': 0.072, 'kernel': 'rbf'}",0.9360994552164232,0.0025169067400666917,14
7,0.072,sigmoid,"{'C': 0.072, 'kernel': 'sigmoid'}",0.5640871140142585,0.0066746798129642465,47
8,0.144,linear,"{'C': 0.144, 'kernel': 'linear'}",0.8255857005981035,0.0028836076669315172,25
9,0.144,poly,"{'C': 0.144, 'kernel': 'poly'}",0.7116145543864307,0.0021334385511511357,44
10,0.144,rbf,"{'C': 0.144, 'kernel': 'rbf'}",0.9401963109724933,0.0018089148008840106,13
11,0.144,sigmoid,"{'C': 0.144, 'kernel': 'sigmoid'}",0.5265950378214848,0.006386212936296603,48
12,0.215,linear,"{'C': 0.215, 'kernel': 'linear'}",0.8255857005981035,0.0028836076669315172,25
13,0.215,poly,"{'C': 0.215, 'kernel': 'poly'}",0.7129456306058846,0.0020688504722533264,43
14,0.215,rbf,"{'C': 0.215, 'kernel': 'rbf'}",0.942174866164795,0.0017716099593833683,12
15,0.215,sigmoid,"{'C': 0.215, 'kernel': 'sigmoid'}",0.5098233912052914,0.005464049368739207,49
16,0.286,linear,"{'C': 0.286, 'kernel': 'linear'}",0.8255857005981035,0.0028836076669315172,25
17,0.286,poly,"{'C': 0.286, 'kernel': 'poly'}",0.7140512462338304,0.0021325108998687145,42
18,0.286,rbf,"{'C': 0.286, 'kernel': 'rbf'}",0.9433580656703182,0.002177156778256991,11
19,0.286,sigmoid,"{'C': 0.286, 'kernel': 'sigmoid'}",0.5005200219221789,0.004798726493584067,50
20,0.358,linear,"{'C': 0.358, 'kernel': 'linear'}",0.8255611512049787,0.002913046872035733,29
21,0.358,poly,"{'C': 0.358, 'kernel': 'poly'}",0.7146747297842925,0.0020588762267830765,41
22,0.358,rbf,"{'C': 0.358, 'kernel': 'rbf'}",0.9440450205589626,0.002422446276820303,10
23,0.358,sigmoid,"{'C': 0.358, 'kernel': 'sigmoid'}",0.49428141295033823,0.005266421174608015,51
24,0.429,linear,"{'C': 0.429, 'kernel': 'linear'}",0.8256103079061106,0.0028912772332467533,16
25,0.429,poly,"{'C': 0.429, 'kernel': 'poly'}",0.7152527572990259,0.002044033698262067,40
26,0.429,rbf,"{'C': 0.429, 'kernel': 'rbf'}",0.9446128148407006,0.0022187160399205442,9
27,0.429,sigmoid,"{'C': 0.429, 'kernel': 'sigmoid'}",0.49140055385177706,0.005113218494207097,52
28,0.5,linear,"{'C': 0.5, 'kernel': 'linear'}",0.8255857585129858,0.0029208459614190477,17
29,0.5,poly,"{'C': 0.5, 'kernel': 'poly'}",0.7158247318230635,0.002134196193280979,39
30,0.5,rbf,"{'C': 0.5, 'kernel': 'rbf'}",0.9449582248862798,0.0022496510047640508,8
31,0.5,sigmoid,"{'C': 0.5, 'kernel': 'sigmoid'}",0.48847717584436634,0.005652528154233358,53
32,0.572,linear,"{'C': 0.572, 'kernel': 'linear'}",0.8255857585129858,0.0029208459614190477,17
33,0.572,poly,"{'C': 0.572, 'kernel': 'poly'}",0.7162922804026439,0.001952789545999669,38
34,0.572,rbf,"{'C': 0.572, 'kernel': 'rbf'}",0.9456132156561603,0.001981499708195318,7
35,0.572,sigmoid,"{'C': 0.572, 'kernel': 'sigmoid'}",0.48666255837631345,0.005612105225871358,54
36,0.643,linear,"{'C': 0.643, 'kernel': 'linear'}",0.8255857585129858,0.0029208459614190477,17
37,0.643,poly,"{'C': 0.643, 'kernel': 'poly'}",0.7167438460479337,0.0020852006213992304,37
38,0.643,rbf,"{'C': 0.643, 'kernel': 'rbf'}",0.9460538151177177,0.0019579671675900526,6
39,0.643,sigmoid,"{'C': 0.643, 'kernel': 'sigmoid'}",0.4850550466606648,0.005916948705082486,55
40,0.715,linear,"{'C': 0.715, 'kernel': 'linear'}",0.8255857585129858,0.0029208459614190477,17
41,0.715,poly,"{'C': 0.715, 'kernel': 'poly'}",0.7172500689591426,0.0022017490172661163,36
